nmc-expenditure,nmc-title,amount,figure
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,12 912 765
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,13 000 000
nmc-expenditure,nmc-title,amount,9 000 000
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,0,—
nmc-expenditure,nmc-title,amount,p.m.
nmc-expenditure,nmc-title,amount,1 000 000
nmc-expenditure,nmc-title,amount,0,—
