nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,nmc-article,nmc-article alias,nmc-article id,p222,p3,bud-data222,bud-data exprev,relation,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 0,NIV-47483218314141915_47483218314325420@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433BD,MEMBERS OF THE INSTITUTION,,nmc-article,1 0 6,NIV-47483218314141915_47483218314325427@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N434CB,Training,This appropriation is intended to cover the costs of language or other training courses for Members of the institution.,bud-data,exp,,amounts,amount,5.2.41,n,439 500
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 0,NIV-47483218314141915_47483218314325420@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433BD,MEMBERS OF THE INSTITUTION,,nmc-article,1 0 6,NIV-47483218314141915_47483218314325427@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N434CB,Training,This appropriation is intended to cover the costs of language or other training courses for Members of the institution.,bud-data,exp,,amounts,amount,5.2.41,nm1,435 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 0,NIV-47483218314141915_47483218314325420@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433BD,MEMBERS OF THE INSTITUTION,,nmc-article,1 0 6,NIV-47483218314141915_47483218314325427@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N434CB,Training,This appropriation is intended to cover the costs of language or other training courses for Members of the institution.,bud-data,exp,,amounts,amount,5.2.41,nm2,256 168,22
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325429@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43511,OFFICIALS AND TEMPORARY STAFF,,A standard abatement of 3,7 % was applied to the appropriations under this Chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325437@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4364B,Provisional appropriation,bud-data,exp,,amounts,amount,5.2.421,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325429@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43511,OFFICIALS AND TEMPORARY STAFF,,A standard abatement of 3,7 % was applied to the appropriations under this Chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325437@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4364B,Provisional appropriation,bud-data,exp,,amounts,amount,5.2.421,nm1,1 728 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325419@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433B3,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325429@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43511,OFFICIALS AND TEMPORARY STAFF,,A standard abatement of 3,7 % was applied to the appropriations under this Chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325437@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4364B,Provisional appropriation,bud-data,exp,,amounts,amount,5.2.421,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325487@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C8B,Reception and representation expenses,This appropriation is intended to cover expenditure connected with the institution’s duties as host and representative, and reception and representation expenses for members of staff.,bud-data,exp,,amounts,amount,5.2.45,n,149 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325487@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C8B,Reception and representation expenses,This appropriation is intended to cover expenditure connected with the institution’s duties as host and representative, and reception and representation expenses for members of staff.,bud-data,exp,,amounts,amount,5.2.45,nm1,197 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325487@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C8B,Reception and representation expenses,This appropriation is intended to cover expenditure connected with the institution’s duties as host and representative, and reception and representation expenses for members of staff.,bud-data,exp,,amounts,amount,5.2.45,nm2,131 153,51
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325490@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43CF4,Legal information service,This appropriation is intended to cover contributions which the Commission may ask the institutions to make towards the costs of the legal information service (augmenting and distributing the interinstitutional database).,bud-data,exp,,amounts,amount,5.2.46,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325490@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43CF4,Legal information service,This appropriation is intended to cover contributions which the Commission may ask the institutions to make towards the costs of the legal information service (augmenting and distributing the interinstitutional database).,bud-data,exp,,amounts,amount,5.2.46,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325418@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N433AA,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325457@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N438D4,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325486@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43C81,EXPENDITURE ON MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325490@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N43CF4,Legal information service,This appropriation is intended to cover contributions which the Commission may ask the institutions to make towards the costs of the legal information service (augmenting and distributing the interinstitutional database).,bud-data,exp,,amounts,amount,5.2.46,nm2,0,—
