nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,bud-data,bud-data exprev,amounts,amount,figure,alias
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,4,NIV-47483218314141915_47483218314322943@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11A8E,nmc-chapter,4 2,NIV-47483218314141915_47483218314322948@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11B1B,nmc-article,4 2 2,NIV-47483218314141915_47483218314322949@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11B25,bud-data,exp,amounts,amount,1 546 000,10 0
