nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,bud-data exprev,relation,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325754@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4615D,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.67,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325754@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4615D,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.67,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325754@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4615D,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.67,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 2,NIV-47483218314141915_47483218314325755@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46179,RESERVE TO PROVIDE FOR THE TAKEOVER OF BUILDINGS,bud-data,exp,,amounts,amount,5.2.641,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 2,NIV-47483218314141915_47483218314325755@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46179,RESERVE TO PROVIDE FOR THE TAKEOVER OF BUILDINGS,bud-data,exp,,amounts,amount,5.2.641,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325752@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46126,OTHER EXPENDITURE,,nmc-chapter,10 2,NIV-47483218314141915_47483218314325755@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N46179,RESERVE TO PROVIDE FOR THE TAKEOVER OF BUILDINGS,bud-data,exp,,amounts,amount,5.2.641,nm2,0,—
