nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,nmc-article,nmc-article alias,nmc-article id,p222,bud-data222,nmc-item,nmc-item alias,nmc-item id,p2222,bud-data2222,bud-data exprev,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 0,NIV-47483218314141915_47483218314325692@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459FE,Supplementary services for the translation service,bud-data,exp,amounts,amount,5.2.632,n,424 810
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 0,NIV-47483218314141915_47483218314325692@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459FE,Supplementary services for the translation service,bud-data,exp,amounts,amount,5.2.632,nm1,429 810
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 0,NIV-47483218314141915_47483218314325692@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459FE,Supplementary services for the translation service,bud-data,exp,amounts,amount,5.2.632,nm2,420 597,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 2,NIV-47483218314141915_47483218314325693@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A29,Expert advice connected with consultative work,bud-data,exp,amounts,amount,5.2.65,n,742 851
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 2,NIV-47483218314141915_47483218314325693@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A29,Expert advice connected with consultative work,bud-data,exp,amounts,amount,5.2.65,nm1,742 851
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 2,NIV-47483218314141915_47483218314325693@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A29,Expert advice connected with consultative work,bud-data,exp,amounts,amount,5.2.65,nm2,626 940,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 4,NIV-47483218314141915_47483218314325694@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A49,Interinstitutional cooperation and external services in the field of personnel management,bud-data,exp,amounts,amount,5.2.623,n,30 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 4,NIV-47483218314141915_47483218314325694@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A49,Interinstitutional cooperation and external services in the field of personnel management,bud-data,exp,amounts,amount,5.2.623,nm1,30 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325669@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45723,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325670@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4572C,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 4,NIV-47483218314141915_47483218314325686@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4592E,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,1 4 2,NIV-47483218314141915_47483218314325691@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N459F4,External services,,nmc-item,1 4 2 4,NIV-47483218314141915_47483218314325694@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N45A49,Interinstitutional cooperation and external services in the field of personnel management,bud-data,exp,amounts,amount,5.2.623,nm2,30 000,00
