root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10570,CHEM,271,FL2,Analytical Chemistry,0.0,McClard,F,time,01:10PM,05:00
root,course,20561,CHEM,316,S,Physical Chemistry Laboratory,0.5,Ahmadi,T,time,10:30AM,11:50
root,course,20563,CHEM,324,S,Computational Organic Chem,0.5,Shusterman,M-W-F,time,10:00AM,10:50
root,course,20564,CHEM,332,S,Statistical Thermodynamics,1.0,Ahmadi,M-W-F,time,09:00AM,09:50
root,course,10571,CHEM,333,F,Quantum Mechanics  and  MolStruct,1.0,Ahmadi,M-W-F,time,09:00AM,09:50
root,course,20565,CHEM,334,S,Advanced Inorganic Chemistry,0.5,Geselbracht,T-Th,time,09:00AM,10:20
root,course,10572,CHEM,343,F,Adv Synth Organic Chemistry,1.0,McDougal,M-W-F,time,11:00AM,11:50
root,course,20570,ANTH,368,S,Myth,1.0,Stasch,T-Th,time,01:10PM,02:30
root,course,10574,CHEM,391,F,Structural Biochemistry,0.5,Glasfeld,T-Th,time,09:00AM,10:20
root,course,10576,CHEM,391,F02,Structural Biochemistry,0.0,Glasfeld,W,time,04:10PM,05:00
root,course,10575,CHEM,391,F01,Structural Biochemistry,0.0,Glasfeld,T,time,04:10PM,05:00
root,course,20566,CHEM,392,S,Metabolic Biochemistry,0.5,McClard,T-Th,time,09:00AM,10:20
root,course,20567,CHEM,394,S,Biochemical Methods,0.5,McClard,M,time,06:10PM,07:00
root,course,20568,CHEM,394,SL1,Biochemical Methods,0.0,McClard,T,time,01:10PM,05:00
root,course,20569,CHEM,394,SL2,Biochemical Methods,0.0,McClard,W,time,01:10PM,05:00
root,course,20598,CHIN,311,S,Third Year Chinese,1.0,Wu,M-W-F,time,09:00AM,09:50
root,course,20572,ANTH,369,S,Media  and  Culture Post-MaoChina,1.0,Makley,M-W,time,03:10PM,04:30
root,course,10629,CHIN,316,F,Classical Chinese,1.0,Rhew,M-W-F,time,09:00AM,09:50
