nmc-expenditure,p,bud-data,nmc-title,p2,bud-data2,nmc-chapter,p22,bud-data22,nmc-article,p222,bud-data222,amounts,amount,figure
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Transitional allowances,bud-data,amounts,amount,15 784 819
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Transitional allowances,bud-data,amounts,amount,800 000
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Transitional allowances,bud-data,amounts,amount,566 485,13
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Language and data-processing courses,bud-data,amounts,amount,500 000
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Language and data-processing courses,bud-data,amounts,amount,500 000
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Language and data-processing courses,bud-data,amounts,amount,678 941,14
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Provisional appropriation,bud-data,amounts,amount,p.m.
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Provisional appropriation,bud-data,amounts,amount,p.m.
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,MEMBERS OF THE INSTITUTION,,nmc-article,Provisional appropriation,bud-data,amounts,amount,0,—
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Expenses for staff missions and duty travel between the three places of work,bud-data,amounts,amount,27 600 000
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Expenses for staff missions and duty travel between the three places of work,bud-data,amounts,amount,27 616 000
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Expenses for staff missions and duty travel between the three places of work,bud-data,amounts,amount,25 600 000,00
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Reception and representation expenses,bud-data,amounts,amount,1 333 260
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Reception and representation expenses,bud-data,amounts,amount,1 361 350
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Reception and representation expenses,bud-data,amounts,amount,997 012,13
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Acquisition of expertise,bud-data,amounts,amount,10 386 000
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Acquisition of expertise,bud-data,amounts,amount,11 530 000
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Acquisition of expertise,bud-data,amounts,amount,9 802 864,80
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Relations with parliaments of third countries and support for parliamentary democracy and human rights,bud-data,amounts,amount,637 500
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Relations with parliaments of third countries and support for parliamentary democracy and human rights,bud-data,amounts,amount,750 000
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Relations with parliaments of third countries and support for parliamentary democracy and human rights,bud-data,amounts,amount,409 935,96
