nmc-expenditure,p,bud-data,nmc-title,p2,bud-data2,nmc-chapter,p22,bud-data22,nmc-article,p222,bud-data222,nmc-item,p2222,bud-remarks,list,item,p2
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Miscellaneous expenditure on meetings,,nmc-item,Miscellaneous expenditure for organising parliamentary assemblies, interparliamentary delegations and other delegations,bud-remarks,list,item,delegations to the ACP-EU Joint Parliamentary Assembly, the EuroLat Parliamentary Assembly and the Euronest Parliamentary Assembly and their bodies, 
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Miscellaneous expenditure on meetings,,nmc-item,Miscellaneous expenditure for organising parliamentary assemblies, interparliamentary delegations and other delegations,bud-remarks,list,item,the Parliamentary Assembly of the Union for the Mediterranean (UfMPA), its committees and its Bureau; this expenditure includes the European Parliament’s contribution to the budget of the autonomous secretariat of the UfMPA or the direct defrayal of expenses representing the European Parliament’s share of the budget of the UfMPA, 
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Miscellaneous expenditure on meetings,,nmc-item,Miscellaneous expenditure for organising parliamentary assemblies, interparliamentary delegations and other delegations,bud-remarks,list,item,interparliamentary delegations, ad hoc delegations, joint parliamentary committees, parliamentary cooperation committees, parliamentary delegations to the WTO, and the Parliamentary Conference on the WTO and its Steering Committee.
