nmc-expenditure,p,bud-data,nmc-title,p2,bud-data2,nmc-chapter,p22,bud-data22,nmc-article,p222,bud-data222,nmc-item,p2222,bud-remarks,p22222,list,int.li,p2
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,OFFICIALS AND TEMPORARY STAFF,,nmc-article,Allowances upon early termination of service,,nmc-item,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,bud-remarks,Staff Regulations of Officials of the European Union, and in particular Articles 64 and 72 thereof.,list,int.li,This appropriation is intended to fund:
nmc-expenditure,EXPENDITURE,,nmc-title,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,OTHER STAFF AND EXTERNAL SERVICES,,nmc-article,External translation services,,nmc-item,Interinstitutional cooperation activities in the language field,bud-remarks,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 20 000.,list,int.li,This appropriation is intended to cover:
nmc-expenditure,EXPENDITURE,,nmc-title,BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,Buildings and associated costs,,nmc-article,Buildings,,nmc-item,Other specific property management arrangements,bud-remarks,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 10 000.,list,int.li,This appropriation is intended to cover expenditure on property management not specifically provided for in the other articles in this Chapter, i.e.: 
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,MEETINGS AND CONFERENCES,,nmc-article,Miscellaneous expenditure on meetings,,nmc-item,Meetings, congresses and conferences,bud-remarks,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 20 000.,list,int.li,This appropriation is intended to cover, inter alia:
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Acquisition of information and archiving,,nmc-item,Documentation and library expenditure,bud-remarks,An appropriation of EUR 10 000 may be used to cover travel, subsistence and accommodation expenses of authors invited to present their work to the European Parliament Members’ Book Club.,list,int.li,This appropriation is intended to cover:
nmc-expenditure,EXPENDITURE,,nmc-title,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION,,nmc-article,Production and dissemination,,nmc-item,Digital and traditional publications,bud-remarks,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 15 000.,list,int.li,This appropriation is intended to cover: 
