nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,nmc-article,nmc-article alias,nmc-article id,p222,bud-remarks,p2,p lang,p lang,p lang
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,MEMBERS OF THE INSTITUTION,,nmc-article,1 0 5,NIV-47483218314141915_47483218314322853@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E5D,Language and data-processing courses,bud-remarks,This appropriation is intended to cover the cost of language and IT courses for Members.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,EXPENDITURE,,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,3 0,NIV-47483218314141915_47483218314322917@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116B3,MEETINGS AND CONFERENCES,,nmc-article,3 0 0,NIV-47483218314141915_47483218314322918@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116BD,Expenses for staff missions and duty travel between the three places of work,bud-remarks,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 360 000.,en,en,en
