nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,nmc-article,nmc-article alias,nmc-article id,p222,bud-remarks,p2,p lang,p lang,p lang,p lang,p lang
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,EXPENDITURE,,nmc-title,4,NIV-47483218314141915_47483218314322943@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11A8E,EXPENDITURE RESULTING FROM SPECIAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,4 0,NIV-47483218314141915_47483218314322944@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11A98,EXPENDITURE RELATING TO CERTAIN INSTITUTIONS AND BODIES,,nmc-article,4 0 2,NIV-47483218314141915_47483218314322946@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11AD0,Funding of European political parties,bud-remarks,This appropriation is intended to finance political parties at European level.,en,en,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,EXPENDITURE,,nmc-title,4,NIV-47483218314141915_47483218314322943@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11A8E,EXPENDITURE RESULTING FROM SPECIAL FUNCTIONS CARRIED OUT BY THE INSTITUTION,,nmc-chapter,4 0,NIV-47483218314141915_47483218314322944@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11A98,EXPENDITURE RELATING TO CERTAIN INSTITUTIONS AND BODIES,,nmc-article,4 0 3,NIV-47483218314141915_47483218314322947@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11AF5,Funding of European political foundations,bud-remarks,This appropriation is intended to finance political foundations at European level.,en,en,en,en,en
