nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,p3,nmc-article,nmc-article alias,nmc-article id,p222,bud-data222,nmc-item,nmc-item alias,nmc-item id,p2222,bud-data2222,bud-data exprev,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 2,NIV-47483218314141915_47483218314325596@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BE1,Cleaning and maintenance,bud-data,exp,amounts,amount,5.2.542,nm1,1 211 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 2,NIV-47483218314141915_47483218314325596@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BE1,Cleaning and maintenance,bud-data,exp,amounts,amount,5.2.542,nm2,1 104 866,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 4,NIV-47483218314141915_47483218314325597@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C0F,Energy consumption,bud-data,exp,amounts,amount,5.2.542,n,889 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 4,NIV-47483218314141915_47483218314325597@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C0F,Energy consumption,bud-data,exp,amounts,amount,5.2.542,nm1,1 099 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 4,NIV-47483218314141915_47483218314325597@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C0F,Energy consumption,bud-data,exp,amounts,amount,5.2.542,nm2,1 034 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 6,NIV-47483218314141915_47483218314325598@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C2F,Security and surveillance of buildings,bud-data,exp,amounts,amount,5.2.542,n,162 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 6,NIV-47483218314141915_47483218314325598@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C2F,Security and surveillance of buildings,bud-data,exp,amounts,amount,5.2.542,nm1,204 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 6,NIV-47483218314141915_47483218314325598@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C2F,Security and surveillance of buildings,bud-data,exp,amounts,amount,5.2.542,nm2,217 440,26
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 8,NIV-47483218314141915_47483218314325599@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C52,Insurance,bud-data,exp,amounts,amount,5.2.542,n,61 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 8,NIV-47483218314141915_47483218314325599@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C52,Insurance,bud-data,exp,amounts,amount,5.2.542,nm1,66 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 8,NIV-47483218314141915_47483218314325599@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C52,Insurance,bud-data,exp,amounts,amount,5.2.542,nm2,56 360,18
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 9,NIV-47483218314141915_47483218314325600@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C72,Other expenditure on buildings,bud-data,exp,amounts,amount,5.2.542,n,82 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 9,NIV-47483218314141915_47483218314325600@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C72,Other expenditure on buildings,bud-data,exp,amounts,amount,5.2.542,nm1,86 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 9,NIV-47483218314141915_47483218314325600@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44C72,Other expenditure on buildings,bud-data,exp,amounts,amount,5.2.542,nm2,80 000,00
