nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,p3,nmc-article,nmc-article alias,nmc-article id,p222,bud-data222,bud-data exprev,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325565@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44895,Provisional appropriation,bud-data,exp,amounts,amount,5.2.521,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325565@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44895,Provisional appropriation,bud-data,exp,amounts,amount,5.2.521,nm1,807 814
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 9,NIV-47483218314141915_47483218314325565@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44895,Provisional appropriation,bud-data,exp,amounts,amount,5.2.521,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325616@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E3B,Reception and representation expenses,This appropriation is intended to cover expenditure on the Court of Auditors’ obligations in respect of receptions and representation.,bud-data,exp,amounts,amount,5.2.55,n,234 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325616@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E3B,Reception and representation expenses,This appropriation is intended to cover expenditure on the Court of Auditors’ obligations in respect of receptions and representation.,bud-data,exp,amounts,amount,5.2.55,nm1,234 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 2,NIV-47483218314141915_47483218314325616@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E3B,Reception and representation expenses,This appropriation is intended to cover expenditure on the Court of Auditors’ obligations in respect of receptions and representation.,bud-data,exp,amounts,amount,5.2.55,nm2,229 975,01
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 6,NIV-47483218314141915_47483218314325618@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E79,Expenditure on the dissemination of information and on participation in public events,This appropriation is intended to cover the cost of organising study days on the activities of the Court of Auditors, for the benefit of university teachers, editors of specialised journals or other specialist visitors from the Member States. This appropriation is also intended to cover miscellaneous expenditure relating to the Court’s information and communication policy.,bud-data,exp,amounts,amount,5.2.55,n,17 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 6,NIV-47483218314141915_47483218314325618@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E79,Expenditure on the dissemination of information and on participation in public events,This appropriation is intended to cover the cost of organising study days on the activities of the Court of Auditors, for the benefit of university teachers, editors of specialised journals or other specialist visitors from the Member States. This appropriation is also intended to cover miscellaneous expenditure relating to the Court’s information and communication policy.,bud-data,exp,amounts,amount,5.2.55,nm1,17 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 6,NIV-47483218314141915_47483218314325618@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E79,Expenditure on the dissemination of information and on participation in public events,This appropriation is intended to cover the cost of organising study days on the activities of the Court of Auditors, for the benefit of university teachers, editors of specialised journals or other specialist visitors from the Member States. This appropriation is also intended to cover miscellaneous expenditure relating to the Court’s information and communication policy.,bud-data,exp,amounts,amount,5.2.55,nm2,16 857,86
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325619@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E96,Joint Interpreting and Conference Service,This appropriation is intended to cover payment for services provided by the interpreting services of the European Parliament and the Commission.,bud-data,exp,amounts,amount,5.2.55,n,375 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325619@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E96,Joint Interpreting and Conference Service,This appropriation is intended to cover payment for services provided by the interpreting services of the European Parliament and the Commission.,bud-data,exp,amounts,amount,5.2.55,nm1,375 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 5,NIV-47483218314141915_47483218314325615@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E31,MEETINGS AND CONFERENCES,,nmc-article,2 5 7,NIV-47483218314141915_47483218314325619@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44E96,Joint Interpreting and Conference Service,This appropriation is intended to cover payment for services provided by the interpreting services of the European Parliament and the Commission.,bud-data,exp,amounts,amount,5.2.55,nm2,342 500,00
