nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,table,bud-data22,bud-data exprev,bud-data type,relation,amounts,amount,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 0,NIV-47483218314141915_47483218314325627@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F80,PROVISIONAL APPROPRIATIONS,,bud-data,exp,reserve,,amounts,amount,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 0,NIV-47483218314141915_47483218314325627@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F80,PROVISIONAL APPROPRIATIONS,,bud-data,exp,reserve,,amounts,amount,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 0,NIV-47483218314141915_47483218314325627@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F80,PROVISIONAL APPROPRIATIONS,,bud-data,exp,reserve,,amounts,amount,nm2,0,—
