nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,bud-data exprev,relation,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325628@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44FAE,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.57,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325628@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44FAE,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.57,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,10,NIV-47483218314141915_47483218314325626@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44F77,OTHER EXPENDITURE,,nmc-chapter,10 1,NIV-47483218314141915_47483218314325628@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44FAE,CONTINGENCY RESERVE,bud-data,exp,,amounts,amount,5.2.57,nm2,0,—
