nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,nmc-item,nmc-item alias,nmc-item id,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,amount,5.2.121,n,436 740
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,amount,5.2.121,nm1,400 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 2,NIV-47483218314141915_47483218314322858@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F4A,amount,5.2.121,nm2,174 999,95
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,amount,5.2.123,n,4 400 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,amount,5.2.123,nm1,4 460 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,1 2 0 4,NIV-47483218314141915_47483218314322859@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10F6D,amount,5.2.123,nm2,3 835 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 0,NIV-47483218314141915_47483218314322861@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FB5,amount,5.2.121,n,396 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 0,NIV-47483218314141915_47483218314322861@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FB5,amount,5.2.121,nm2,363 779,83
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 2,NIV-47483218314141915_47483218314322862@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FE6,amount,5.2.121,n,182 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 2,NIV-47483218314141915_47483218314322862@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FE6,amount,5.2.121,nm2,951 911,82
