nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,p
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,assigned non-active status in connection with action to reduce the number of posts in the institution,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,holding an AD 16 or AD 15 post who are retired in the interests of the service.
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the remuneration, including allocations and allowances, of other staff, including contract and local staff and special advisers (within the meaning of the Conditions of Employment of Other Servants of the European Union), employer’s contributions to the various social security schemes and the impact of salary weightings applicable to the remuneration of these staff,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the employment of temporary agency staff.
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,emoluments for graduate trainees (scholarships), including any household allowances, 
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,travel expenses for all trainees,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the costs of an additional disability payment (of up to 50% of the scholarship),
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,allowances for persons on training placements, 
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the costs of sickness and accident insurance for all trainees,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure arising from movements between the European Parliament and the public sector in the Member States or other countries specified in the rules, 
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure arising from the secondment of national experts to the European Parliament,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the organising of training schemes for conference interpreters and translators, inter alia in cooperation with schools of interpreting and universities providing training in translation, as well as grants for the training and further training of interpreters and translators, purchase of teaching materials, and associated costs,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,additional costs for trainees on the pilot programme of traineeships for persons with disabilities, directly related to their disability, in accordance with Article 20(8) of the Internal Rules governing traineeships and study visits in the Secretariat of the European Parliament.
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure related to actions decided on by the Interinstitutional Committee on Translation and Interpretation with a view to promoting interinstitutional cooperation in the sphere of languages,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure on publications, information activities, public relations, and participation in public events, exhibitions and language fairs.
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure on organising the competitions provided for in Article 3 of Decision 2002/621/EC and travel and subsistence expenses for applicants called for interviews and medical examinations,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,the costs of organising procedures for selecting staff.
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,expenditure connected with the organisation of meetings outside the places of work (committees and committee delegations, political groups), including, where appropriate, representation expenditure,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,affiliation fees in respect of international organisations to which the European Parliament or one of its bodies belongs (Interparliamentary Union, Association of Secretaries-General of Parliaments, Twelve Plus Group within the Interparliamentary Union).
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,all costs for digital publishing (Intranet sites) and traditional publishing (miscellaneous documents and printed matter subcontracted out), including distribution,
nmc-expenditure,nmc-title,nmc-chapter,nmc-article,item,upgrading and evolutive and corrective maintenance of editorial and translation systems.
