nmc-expenditure,nmc-title,nmc-chapter,amount,figure
nmc-expenditure,nmc-title,nmc-chapter,amount,15 784 819
nmc-expenditure,nmc-title,nmc-chapter,amount,800 000
nmc-expenditure,nmc-title,nmc-chapter,amount,566 485,13
nmc-expenditure,nmc-title,nmc-chapter,amount,500 000
nmc-expenditure,nmc-title,nmc-chapter,amount,500 000
nmc-expenditure,nmc-title,nmc-chapter,amount,678 941,14
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,0,—
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,0,—
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,p.m.
nmc-expenditure,nmc-title,nmc-chapter,amount,0,—
nmc-expenditure,nmc-title,nmc-chapter,amount,3 180 000
nmc-expenditure,nmc-title,nmc-chapter,amount,3 232 500
nmc-expenditure,nmc-title,nmc-chapter,amount,2 040 859,17
nmc-expenditure,nmc-title,nmc-chapter,amount,22 933 500
nmc-expenditure,nmc-title,nmc-chapter,amount,19 585 000
nmc-expenditure,nmc-title,nmc-chapter,amount,19 562 814,54
nmc-expenditure,nmc-title,nmc-chapter,amount,7 265 000
nmc-expenditure,nmc-title,nmc-chapter,amount,6 068 000
nmc-expenditure,nmc-title,nmc-chapter,amount,6 104 390,56
nmc-expenditure,nmc-title,nmc-chapter,amount,2 021 000
nmc-expenditure,nmc-title,nmc-chapter,amount,2 339 500
nmc-expenditure,nmc-title,nmc-chapter,amount,2 010 713,84
nmc-expenditure,nmc-title,nmc-chapter,amount,65 000
nmc-expenditure,nmc-title,nmc-chapter,amount,75 000
nmc-expenditure,nmc-title,nmc-chapter,amount,16 864,00
nmc-expenditure,nmc-title,nmc-chapter,amount,1 035 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 714 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 433 604,29
nmc-expenditure,nmc-title,nmc-chapter,amount,510 000
nmc-expenditure,nmc-title,nmc-chapter,amount,357 000
nmc-expenditure,nmc-title,nmc-chapter,amount,271 282,65
nmc-expenditure,nmc-title,nmc-chapter,amount,1 620 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 100 000
nmc-expenditure,nmc-title,nmc-chapter,amount,760 359,86
nmc-expenditure,nmc-title,nmc-chapter,amount,731 500
nmc-expenditure,nmc-title,nmc-chapter,amount,661 500
nmc-expenditure,nmc-title,nmc-chapter,amount,438 222,80
nmc-expenditure,nmc-title,nmc-chapter,amount,250 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 064 000
nmc-expenditure,nmc-title,nmc-chapter,amount,89 558,55
nmc-expenditure,nmc-title,nmc-chapter,amount,27 600 000
nmc-expenditure,nmc-title,nmc-chapter,amount,27 616 000
nmc-expenditure,nmc-title,nmc-chapter,amount,25 600 000,00
nmc-expenditure,nmc-title,nmc-chapter,amount,1 333 260
nmc-expenditure,nmc-title,nmc-chapter,amount,1 361 350
nmc-expenditure,nmc-title,nmc-chapter,amount,997 012,13
nmc-expenditure,nmc-title,nmc-chapter,amount,10 386 000
nmc-expenditure,nmc-title,nmc-chapter,amount,11 530 000
nmc-expenditure,nmc-title,nmc-chapter,amount,9 802 864,80
nmc-expenditure,nmc-title,nmc-chapter,amount,637 500
nmc-expenditure,nmc-title,nmc-chapter,amount,750 000
nmc-expenditure,nmc-title,nmc-chapter,amount,409 935,96
nmc-expenditure,nmc-title,nmc-chapter,amount,1 100 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 100 000
nmc-expenditure,nmc-title,nmc-chapter,amount,1 100 000,00
nmc-expenditure,nmc-title,nmc-chapter,amount,59 800 000
nmc-expenditure,nmc-title,nmc-chapter,amount,58 750 000
nmc-expenditure,nmc-title,nmc-chapter,amount,57 062 366,62
nmc-expenditure,nmc-title,nmc-chapter,amount,27 794 200
nmc-expenditure,nmc-title,nmc-chapter,amount,21 794 200
nmc-expenditure,nmc-title,nmc-chapter,amount,18 900 000,00
nmc-expenditure,nmc-title,nmc-chapter,amount,13 400 000
nmc-expenditure,nmc-title,nmc-chapter,amount,12 400 000
nmc-expenditure,nmc-title,nmc-chapter,amount,11 955 272,00
nmc-expenditure,nmc-title,nmc-chapter,amount,200 000
nmc-expenditure,nmc-title,nmc-chapter,amount,200 000
nmc-expenditure,nmc-title,nmc-chapter,amount,200 000,00
nmc-expenditure,nmc-title,nmc-chapter,amount,200 000
nmc-expenditure,nmc-title,nmc-chapter,amount,175 000
nmc-expenditure,nmc-title,nmc-chapter,amount,160 000,00
