root,course,footnote,sln,prefix,crs,lab,sect,title,credit,days,instructor,limit,enrolled,times,start,end
root,course,,10637,ACCTG,230,,01,INT FIN ACCT,3.0,TU,TH,B. MCELDOWNEY,0112,0108,times,7:45,9
root,course,,10751,ACCTG,231,,04,INT MAN ACCT,3.0,M,W,F,J. MCELDOWNEY,0070,0069,times,,11:10
root,course,,11940,AGTM,305,,01,AG MACH SYST,3.0,M,W,DURFEY,0040,0019,times,,10:10
root,course,V,25403,ECON,101,,01,[S] FUND OF MICR,3.0,TH,FORT,0060,0060,times,,9:10
root,course,V,25411,ECON,101,,02,[S] FUND OF MICR,3.0,TH,,0060,0058,times,,9:10
root,course,V,25429,ECON,101,,03,[S] FUND OF MICR,3.0,TH,,0060,0060,times,,9:10
root,course,,25437,ECON,101,,04,[S] FUND OF MICR,3.0,M,W,,0060,0058,times,,10:10
root,course,,25445,ECON,101,,05,[S] FUND OF MICR,3.0,M,W,,0060,0060,times,,10:10
root,course,,25452,ECON,101,,06,[S] FUND OF MICR,3.0,M,W,,0060,0058,times,,10:10
root,course,,25460,ECON,101,,07,[S] FUND OF MICR,3.0,TU,TH,JOERDING,0060,0060,times,,10:35
root,course,,25478,ECON,101,,08,[S] FUND OF MICR,3.0,TU,TH,,0060,0059,times,,10:35
root,course,,25486,ECON,101,,09,[S] FUND OF MICR,3.0,TU,TH,,0060,0057,times,,10:35
root,course,,11957,AGTM,305,L,01,AG MACH SYST,,M,,0020,0012,times,14:10,17
root,course,,25494,ECON,101,,10,[S] FUND OF MICR,3.0,M,W,,0060,0060,times,,14:10
root,course,,25502,ECON,101,,11,[S] FUND OF MICR,3.0,M,W,,0059,0059,times,,14:10
root,course,,25510,ECON,101,,12,[S] FUND OF MICR,3.0,M,W,,0060,0057,times,,14:10
root,course,,25528,ECON,101,,13,[S] FUND OF MICR,3.0,TU,TH,,0048,0050,times,9:10,10:25
root,course,,25577,ECON,102,,01,[S] FUND OF MACR,3.0,TU,TH,INABA,0060,0057,times,,15:10
root,course,,25585,ECON,102,,02,[S] FUND OF MACR,3.0,TU,TH,,0056,0050,times,,15:10
root,course,,25593,ECON,102,,03,[S] FUND OF MACR,3.0,TU,TH,,0060,0052,times,,15:10
root,course,V,25601,ECON,102,,04,[S] FUND OF MACR,3.0,TU,JOERDING,0060,0057,times,,9:10
root,course,V,25619,ECON,102,,05,[S] FUND OF MACR,3.0,TU,,0060,0055,times,,9:10
root,course,V,25627,ECON,102,,06,[S] FUND OF MACR,3.0,TU,,0060,0022,times,,9:10
root,course,,11965,AGTM,305,L,02,AG MACH SYST,,TU,,0020,0007,times,14:10,17
root,course,,25635,ECON,102,,07,[S] FUND OF MACR,3.0,M,W,,0060,0058,times,,14:10
root,course,,25643,ECON,102,,08,[S] FUND OF MACR,3.0,M,W,,0060,0056,times,,14:10
root,course,,25650,ECON,102,,09,[S] FUND OF MACR,3.0,M,W,,0060,0058,times,,14:10
root,course,,25668,ECON,102,,10,[S] FUND OF MACR,3.0,M,W,,0060,0060,times,,12:10
root,course,,25676,ECON,102,,11,[S] FUND OF MACR,3.0,M,W,,0060,0061,times,,12:10
